"Symbol";"Company";"Sector";"Subsector";"Price";"Country"
"DUKpA.PFD";"Duke Energy Corp";"Utilities";"Utilities - Regulated";"27.81";"USA"
"DUK";"Duke Energy Corp";"Utilities";"Utilities - Regulated";"104.79";"USA"
"DRE";"Duke Realty Corp";"Real Estate";"REITs";"51.88";"USA"
"DLTH";"Duluth Holdings Inc";"Consumer Cyclical";"Retail - Cyclical";"16.03";"USA"
"DULUF";"DuluxGroup Ltd";"Basic Materials";"Building Materials";"6.85";"Australia"
"DNB";"Dun & Bradstreet Holdings Inc";"Technology";"Software";"18.28";"USA"
"DDPPF.PFD";"Dundee Corp";"Consumer Defensive";"Consumer Packaged Goods";"10.39";"Canada"
"DNDPF.PFD";"Dundee Corp";"Consumer Defensive";"Consumer Packaged Goods";"14.9";"Canada"
"DNDEF.PFD";"Dundee Corp";"Consumer Defensive";"Consumer Packaged Goods";"14.82";"Canada"
"DDEJF";"Dundee Corp";"Consumer Defensive";"Consumer Packaged Goods";"1.24";"Canada"
"DNPWF";"Dundee Precious Metals Inc";"Basic Materials";"Metals & Mining";"0.01";"Canada"
"DPMLF";"Dundee Precious Metals Inc";"Basic Materials";"Metals & Mining";"6.04";"Canada"
"DNDDF";"Dundee Sustainable Technologies Inc";"Industrials";"Industrial Products";"0.27";"Canada"
"DUNEW";"Dune Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.52";"USA"
"DUNEU";"Dune Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.99";"USA"
"DUNE";"Dune Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.77";"USA"
"DNLMY";"Dunelm Group PLC";"Consumer Cyclical";"Retail - Cyclical";"15.05";"UK"
"DUNIY";"Duni AB";"Consumer Defensive";"Consumer Packaged Goods";"29.44";"Sweden"
"DUNIF";"Duni AB";"Consumer Defensive";"Consumer Packaged Goods";"12.4";"Sweden"
"DNKN";"Dunkin' Brands Group Inc";"Consumer Cyclical";"Restaurants";"106.48";"USA"
"DXF";"Dunxin Financial Holdings Ltd";"Financial Services";"Credit Services";"1.3";"China"
"DUUO";"Duo World Inc";"Technology";"Software";"0.2";""
"DUOL";"Duolingo Inc";"Technology";"Software";"128.7";"USA"
"DUOT";"Duos Technologies Group Inc";"Technology";"Software";"6.54";"USA"
"DGWIY";"Duoyuan Global Water Inc";"Industrials";"Industrial Products";"0.04";"China"
"DD";"DuPont de Nemours Inc";"Basic Materials";"Chemicals";"73.91";"USA"
"DFTPRACL.PFD";"Dupont Fabros Technology Inc";"Real Estate";"REITs";"25.28";"USA"
"DFTPRC.PFD";"Dupont Fabros Technology Inc";"Real Estate";"REITs";"27.53";"USA"
"DQUEM.PFD";"Duquesne Light Co";"Utilities";"Utilities - Regulated";"51.03";"USA"
"DQUEO.PFD";"Duquesne Light Co";"Utilities";"Utilities - Regulated";"51.71";"USA"
"DQUEP.PFD";"Duquesne Light Co";"Utilities";"Utilities - Regulated";"51.78";"USA"
"DQUEN.PFD";"Duquesne Light Co";"Utilities";"Utilities - Regulated";"51.83";"USA"
"DQUEL.PFD";"Duquesne Light Co";"Utilities";"Utilities - Regulated";"51.92";"USA"
"ATOXF";"Durango Resources Inc";"Basic Materials";"Metals & Mining";"0.05";"Canada"
"DUVT";"DuraVest Inc";"Healthcare";"Medical Devices & Instruments";"0.02";"Canada"
"DRRX";"Durect Corp";"Healthcare";"Drug Manufacturers";"1.4";"USA"
"DUROF";"Duro Felguera SA";"Industrials";"Construction";"0.79";"Spain"
"DUSXF";"Dustin Group AB";"Technology";"Software";"12.23";"Sweden"
"DVLN";"DVL Inc";"Financial Services";"Banks";"3450";"USA"
"DVXIF";"DVx Inc";"Healthcare";"Medical Devices & Instruments";"12.95";"Japan"
"KMM";"DWS Multi-market Income Trust";"Financial Services";"Asset Management";"9.02";"USA"
"KTF";"DWS Municipal Income Trust";"Financial Services";"Asset Management";"12.32";"USA"
"KSM";"DWS Strategic Municipal Income Trust";"Financial Services";"Asset Management";"12.85";"USA"
"DXC";"DXC Technology Co";"Technology";"Software";"36.28";"USA"
"DXIEF";"DXI Capital Corp";"Energy";"Oil & Gas";"0.32";"Canada"
"DXPE";"DXP Enterprises Inc";"Industrials";"Industrial Distribution";"30.01";"USA"
"DXXSF";"DXStorm.com Inc";"Technology";"Software";"0.02";"Canada"
"DYAI";"Dyadic International Inc";"Healthcare";"Biotechnology";"6.45";"USA"
"DY";"Dycom Industries Inc";"Industrials";"Construction";"76.18";"USA"
"DYDIF";"DyDo Drinco Inc";"Consumer Defensive";"Beverages - Non-Alcoholic";"40.85";"Japan"
"DYNDF";"Dye & Durham Ltd";"Technology";"Software";"36.89";"Canada"
"DGIX";"Dyna Group International Inc";"Consumer Cyclical";"Furnishings, Fixtures & Appliances";"0.52";"USA"
"DYFSF";"DynaCERT Inc";"Industrials";"Industrial Products";"0.21";"Canada"
"DNGDF";"Dynacor Gold Mines Inc";"Basic Materials";"Metals & Mining";"2.22";"Canada"
"DLNG";"Dynagas LNG Partners LP";"Energy";"Oil & Gas";"3.11";"Greece"
"DLNGpB.PFD";"Dynagas LNG Partners LP";"Energy";"Oil & Gas";"24.44";"Greece"
"DLNGpA.PFD";"Dynagas LNG Partners LP";"Energy";"Oil & Gas";"24.81";"Greece"
"DJPHF";"DYNAM JAPAN HOLDINGS Co Ltd";"Consumer Cyclical";"Travel & Leisure";"1.28";"Japan"
"ERILF";"Dynamic Technologies Group Inc";"Industrials";"Industrial Products";"0.24";"Canada"
"DYNS";"Dynamics Special Purpose Corp";"Financial Services";"Diversified Financial Services";"9.99";"USA"
"DYNR";"DynaResource Inc";"Basic Materials";"Metals & Mining";"1.29";"USA"
"DYSL";"Dynasil Corp of America";"Technology";"Hardware";"1.09";"USA"
"DYNA";"Dynastar Holdings Inc";"Industrials";"Business Services";"0.01";"USA"
"DYCZF";"Dynasty Ceramic PCL";"Industrials";"Construction";"0.12";"Thailand"
"DYCWF";"Dynasty Ceramic PCL";"Industrials";"Construction";"0.12";"Thailand"
"DGDCF";"Dynasty Gold Corp";"Basic Materials";"Metals & Mining";"0.14";"Canada"
"DYTM";"Dynatem Inc";"Technology";"Hardware";"0.8";"USA"
"DT";"Dynatrace Inc";"Technology";"Software";"68.08";"USA"
"DYNT";"Dynatronics Corp";"Healthcare";"Medical Devices & Instruments";"1.28";"USA"
"DVAX";"Dynavax Technologies Corp";"Healthcare";"Drug Manufacturers";"18.09";"USA"
"DVAXW";"Dynavax Technologies Corp";"Healthcare";"Drug Manufacturers";"3.52";"USA"
"DVOXQ";"DynaVox Inc";"Technology";"Software";"0.05";"USA"
"DYN";"Dyne Therapeutics Inc";"Healthcare";"Biotechnology";"16.49";"USA"
"DYNPRA.PFD";"Dynegy Inc";"Utilities";"Utilities - Independent Power Producers";"40.06";"USA"
"DXpA.CL.PFD";"Dynex Capital Inc";"Real Estate";"REITs";"25.29";"USA"
"DXpC.PFD";"Dynex Capital Inc";"Real Estate";"REITs";"26.22";"USA"
"DXpB.PFD";"Dynex Capital Inc";"Real Estate";"REITs";"25.14";"USA"
"DX";"Dynex Capital Inc";"Real Estate";"REITs";"17.67";"USA"
"DNXWF";"Dynex Power Inc";"Technology";"Semiconductors";"0.22";"UK"
"DYNE";"Dyntek Inc";"Technology";"Software";"19";"USA"
"DZSI";"DZS Inc";"Technology";"Hardware";"13.84";"USA"
"EMGR";"E & M Group Inc";"Industrials";"Business Services";"0.02";"USA"
"EMDF";"E Med Future Inc";"Healthcare";"Medical Devices & Instruments";"0.09";"USA"
"DANG";"E-Commerce China Dangdang Inc";"Consumer Cyclical";"Retail - Cyclical";"6.63";"China"
"ECACU";"E-compass Acquisition Corp";"Consumer Defensive";"Retail - Defensive";"10.8";"USA"
"EJH";"E-Home Household Service Holdings Ltd";"Industrials";"Business Services";"3.62";"China"
"EJ";"E-House China Holdings Ltd";"Real Estate";"Real Estate";"6.79";"China"
"ELFIF";"E-L Financial Corp Ltd";"Financial Services";"Insurance";"730";"Canada"
"EQUR";"E-Qure Corp";"Healthcare";"Medical Devices & Instruments";"0.04";"USA"
"ETPPF";"e-Therapeutics PLC";"Healthcare";"Biotechnology";"0.23";"UK"
"EWST";"E-Waste Corp";"Financial Services";"Diversified Financial Services";"9.25";"USA"
"ELF";"e.l.f. Beauty Inc";"Consumer Defensive";"Consumer Packaged Goods";"30.83";"USA"
"ETACW";"E.Merge Technology Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.67";"USA"
"ETAC";"E.Merge Technology Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.75";"USA"
"ETACU";"E.Merge Technology Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.98";"USA"
"ENAKF";"E.ON SE";"Utilities";"Utilities - Regulated";"13.03";"Germany"
"ETWO";"E2open Parent Holdings Inc";"Technology";"Software";"12.18";"USA"
"ETWO.WS";"E2open Parent Holdings Inc";"Technology";"Software";"3.28";"USA"
"EEMMF";"E3 Metals Corp";"Basic Materials";"Metals & Mining";"1.34";"Canada"
"ESVNF";"E79 Resources Corp";"Basic Materials";"Metals & Mining";"0.82";"Canada"
"EACO";"EACO Corp";"Technology";"Hardware";"19.87";"USA"
"EGBN";"Eagle Bancorp Inc";"Financial Services";"Banks";"57.35";"USA"
"EBMT";"Eagle Bancorp Montana Inc";"Financial Services";"Banks";"21.82";"USA"
"EGKPF";"Eagle Bulk Shipping Inc";"Industrials";"Transportation";"0.05";"USA"
"EGLE";"Eagle Bulk Shipping Inc";"Industrials";"Transportation";"50.92";"USA"
"GRF";"Eagle Capital Growth Fund Inc";"Financial Services";"Asset Management";"9.37";"USA"
"EGRGF";"Eagle Energy Inc";"Energy";"Oil & Gas";"0.05";"Canada"
"EFBI";"Eagle Financial Bancorp Inc";"Financial Services";"Banks";"18.55";"USA"
"EFSI";"Eagle Financial Services Inc";"Financial Services";"Banks";"34.25";"USA"
"ECCE";"Eagle Ford Oil & Gas Corp";"Energy";"Oil & Gas";"0.04";"USA"
"APMFF";"Eagle Graphite Inc";"Basic Materials";"Metals & Mining";"0.14";"Canada"
"EGIF";"Eagle Growth and Income Opportunities Fund";"Financial Services";"Asset Management";"12.55";"USA"
"EXP";"Eagle Materials Inc";"Basic Materials";"Building Materials";"157.06";"USA"
"EMTC";"Eagle Mountain Corp";"Energy";"Oil & Gas";"0.01";"USA"
"EGMMF";"Eagle Mountain Mining Ltd";"Basic Materials";"Metals & Mining";"0.69";"Australia"
"EGRX";"Eagle Pharmaceuticals Inc";"Healthcare";"Drug Manufacturers";"48.42";"USA"
"EGPLF";"Eagle Plains Resources Ltd";"Basic Materials";"Metals & Mining";"0.13";"Canada"
"ECCB.PFD";"Eagle Point Credit Co Inc";"Financial Services";"Asset Management";"25.53";"USA"
"ECCC.PFD";"Eagle Point Credit Co Inc";"Financial Services";"Asset Management";"25.66";"USA"
"ECCA.CL.PFD";"Eagle Point Credit Co Inc";"Financial Services";"Asset Management";"25.15";"USA"
"ECC";"Eagle Point Credit Co Inc";"Financial Services";"Asset Management";"13.84";"USA"
"EIC";"Eagle Point Income Co Inc";"Financial Services";"Asset Management";"17.52";"USA"
"EAXR";"Ealixir Inc";"Technology";"Software";"3.89";"USA"
"EAR";"Eargo Inc";"Healthcare";"Medical Devices & Instruments";"20.47";"USA"
"EACTF";"Earth Alive Clean Technologies Inc";"Basic Materials";"Agriculture";"0.1";"Canada"
"ERCHF";"Earth Corp";"Consumer Defensive";"Consumer Packaged Goods";"0.38";"Japan"
"EGBB";"Earth Gen-Biofuel Inc";"Consumer Cyclical";"Homebuilding & Construction";"0.13";"USA"
"CLTS";"Earth Life Sciences Inc";"Technology";"Software";"0.02";"USA"
"ETST";"Earth Science Tech Inc";"Healthcare";"Drug Manufacturers";"0.02";"USA"
"ELNK";"EarthLink Holdings Corp";"Communication Services";"Telecommunication Services";"5.63";"USA"
"VVIVF";"EarthRenew Inc";"Basic Materials";"Agriculture";"0.19";"Canada"
"VVIVF";"EarthRenew Inc";"Basic Materials";"Agriculture";"0.19";"Canada"
"ETHS";"Earthshine International Ltd";"Consumer Cyclical";"Retail - Cyclical";"0.01";"UK"
"ESTE";"Earthstone Energy Inc";"Energy";"Oil & Gas";"8.21";"USA"
"EAATF";"Earthworks Industries Inc";"Industrials";"Waste Management";"0.17";"Canada"
"EFRMF";"East Africa Metals Inc";"Basic Materials";"Metals & Mining";"0.2";"Canada"
"EJPRY";"East Japan Railway Co";"Industrials";"Transportation";"11.3";"Japan"
"EJPRF";"East Japan Railway Co";"Industrials";"Transportation";"73";"Japan"
"EKGRU";"East Kansas Agri Energy LLC";"Basic Materials";"Chemicals";"1250";"USA"
"EMHI";"East Morgan Holdings Inc";"Industrials";"Industrial Products";"0.01";"USA"
"ERESW";"East Resources Acquisition Co";"Financial Services";"Diversified Financial Services";"0.63";"USA"
"ERESU";"East Resources Acquisition Co";"Financial Services";"Diversified Financial Services";"10.06";"USA"
"ERES";"East Resources Acquisition Co";"Financial Services";"Diversified Financial Services";"9.76";"USA"
"ESDF";"East Side Financial";"Financial Services";"Banks";"0.3";"USA"
"ESSC";"East Stone Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.16";"USA"
"ESSCU";"East Stone Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.62";"USA"
"ESSCW";"East Stone Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.18";"USA"
"EWBC";"East West Bancorp Inc";"Financial Services";"Banks";"72.51";"USA"
"EWPMF";"East West Petroleum Corp";"Energy";"Oil & Gas";"0.05";"Canada"
"TCLVF";"EastCoal Inc";"Energy";"Other Energy Sources";"3.75";"Canada"
"DEA";"Easterly Government Properties Inc";"Real Estate";"REITs";"21.39";"USA"
"EBC";"Eastern Bankshares Inc";"Financial Services";"Banks";"19.63";"USA"
"EGDD";"Eastern Goldfields Inc";"Basic Materials";"Metals & Mining";"0.04";"USA"
"ELCI";"Eastern Light Capital Inc";"Real Estate";"REITs";"0.1";"USA"
"EFIN";"Eastern Michigan Financial Corp";"Financial Services";"Banks";"32.7";"USA"
"ELRFF";"Eastern Platinum Ltd";"Basic Materials";"Metals & Mining";"0.25";"Canada"
"ESRI";"Eastern Resources Inc";"Basic Materials";"Metals & Mining";"0.04";"USA"
"EAST";"Eastern Security & Protection Services Inc";"Industrials";"Business Services";"2.94";"China"
"ETFLF";"Eastfield Resources Ltd";"Basic Materials";"Metals & Mining";"0.06";"Canada"
"EGP";"EastGroup Properties Inc";"Real Estate";"REITs";"179.41";"USA"
"EMN";"Eastman Chemical Co";"Basic Materials";"Chemicals";"113.58";"USA"
"KODK.WS";"Eastman Kodak Co";"Technology";"Hardware";"0.01";""
"KODK.WS.A";"Eastman Kodak Co";"Technology";"Hardware";"0.03";""
"KODK";"Eastman Kodak Co";"Industrials";"Business Services";"7.23";"USA"
"EASB";"Easton Bancorp Inc";"Financial Services";"Banks";"85";"USA"
"EAST";"Eastside Distilling Inc";"Industrials";"Business Services";"2.94";"China"
"HBOSF";"EastWest Bioscience Inc";"Healthcare";"Drug Manufacturers";"0.01";"Canada"
"EWOOF";"Eastwood Bio-Medical Canada Inc";"Healthcare";"Biotechnology";"1.22";"Canada"
"EYSI";"Easy Scripts Inc";"Basic Materials";"Forest Products";"0.03";"USA"
"ESYYF";"Easy Software AG";"Technology";"Software";"10.33";"Germany"
"EMYSF";"Easy Technologies Inc";"Healthcare";"Healthcare Providers & Services";"0.07";"Canada"
"ESZYF";"easyHotel PLC";"Consumer Cyclical";"Travel & Leisure";"1.61";"UK"
"EJTTF";"easyJet PLC";"Industrials";"Transportation";"10.9";"UK"
"ESYJY";"easyJet PLC";"Industrials";"Transportation";"11.25";"UK"
"ESYL";"Easylink Solutions Corp";"Technology";"Software";"0.01";"Israel"
"EATBF";"Eat Beyond Global Holdings Inc";"Consumer Defensive";"Consumer Packaged Goods";"0.89";"Canada"
"ETN";"Eaton Corp PLC";"Industrials";"Industrial Products";"170.21";"Ireland"
"CEV";"Eaton Vance CA Muni Income Trust";"Financial Services";"Asset Management";"14";"USA"
"EVM";"Eaton Vance California Municipal Bond Fund";"Financial Services";"Asset Management";"12.04";"USA"
"EIA";"Eaton Vance California Municipal Bond Fund II";"Financial Services";"Asset Management";"10.18";"USA"
"EOI";"Eaton Vance Enhanced Equity Income Fund";"Financial Services";"Asset Management";"19.35";"USA"
"EOS";"Eaton Vance Enhanced Equity Income Fund II";"Financial Services";"Asset Management";"24.84";"USA"
"EFL";"Eaton Vance Floating-Rate 2022 Target Term Trust";"Financial Services";"Asset Management";"9.46";"USA"
"EFT";"Eaton Vance Floating-rate Income Trust";"Financial Services";"Asset Management";"14.8";"USA"
"EHT";"Eaton Vance High Income 2021 Target Term Trust";"Financial Services";"Asset Management";"9.84";"USA"
"EVV";"Eaton Vance Ltd Duration Income Fund";"Financial Services";"Asset Management";"13.33";"USA"
"MMV";"Eaton Vance MA Muni Income Trust";"Financial Services";"Asset Management";"12.65";"USA"
"MAB";"Eaton Vance Massachusetts Municipal Bond Fund";"Financial Services";"Asset Management";"12.28";"USA"
"EMI";"Eaton Vance Michigan Muni Income Trust";"Financial Services";"Asset Management";"12.35";"USA"
"MIW";"Eaton Vance Michigan Municipal Bond Fund";"Financial Services";"Asset Management";"12.55";"USA"
"EIM";"Eaton Vance Municipal Bond Fund";"Financial Services";"Asset Management";"13.85";"USA"
"EIV";"Eaton Vance Municipal Bond Fund II";"Financial Services";"Asset Management";"11.93";"USA"
"ETX";"Eaton Vance Municipal Income 2028 Term Trust";"Financial Services";"Asset Management";"23.35";"USA"
"EVN";"Eaton Vance Municipal Income Trust";"Financial Services";"Asset Management";"14.26";"USA"
"EOT";"Eaton Vance National Municipal Opportunities Trust";"Financial Services";"Asset Management";"22.71";"USA"
"EMJ";"Eaton Vance New Jersey Municipal Bond Fund";"Financial Services";"Asset Management";"12.06";"USA"
"ENX";"Eaton Vance New York Municipal Bond Fund";"Financial Services";"Asset Management";"12.64";"USA"
"NYH";"Eaton Vance New York Municipal Bond Fund II";"Financial Services";"Asset Management";"10.55";"USA"
"EVJ";"Eaton Vance NJ Muni Income Trust";"Financial Services";"Asset Management";"12.15";"USA"
"EVY";"Eaton Vance NY Muni Income Trust";"Financial Services";"Asset Management";"15.17";"USA"
"EIO";"Eaton Vance Ohio Municipal Bond Fund";"Financial Services";"Asset Management";"11.71";"USA"
"EVO";"Eaton Vance Ohio Municipal Income Trust";"Financial Services";"Asset Management";"12.62";"USA"
"EVP";"Eaton Vance PA Muni Income Trust";"Financial Services";"Asset Management";"11.46";"USA"
"EIP";"Eaton Vance Pennsylvania Municipal Bond Fund";"Financial Services";"Asset Management";"11.74";"USA"
"ETJ";"Eaton Vance Risk-Managed Diversified Equity Income";"Financial Services";"Asset Management";"11.1";"USA"
"EFR";"Eaton Vance Senior Floating Rate Trust";"Financial Services";"Asset Management";"14.31";"USA"
"EVF";"Eaton Vance Senior Income Trust";"Financial Services";"Asset Management";"6.84";"USA"
"EVG";"Eaton Vance Short Duration Diversified Income Fund";"Financial Services";"Asset Management";"13.58";"USA"
"EVT";"EATON VANCE TAX ADVANTAGED DIVIDEND INCOME FUND";"Financial Services";"Asset Management";"28.43";"USA"
"ETG";"Eaton Vance Tax Advgd Gbl Div Inc Fd";"Financial Services";"Asset Management";"22.2";"USA"
"ETO";"Eaton Vance Tax-advtgd Global Divid Oppo";"Financial Services";"Asset Management";"32.34";"USA"
"ETB";"Eaton Vance Tax-Managed Buy-Write Income Fund";"Financial Services";"Asset Management";"16.64";"USA"
"ETV";"Eaton Vance Tax-Managed Buy-Write Opp";"Financial Services";"Asset Management";"16.55";"USA"
"EXD";"Eaton Vance Tax-Managed Buy-Write Strategy Fund";"Financial Services";"Asset Management";"12.14";"USA"
"ETW";"Eaton Vance Tax-mangd Glo Buy-write Oppo";"Financial Services";"Asset Management";"11.06";"USA"
"ETY";"Eaton Vance Tax-mgd Dvsf Eq Inc Fd";"Financial Services";"Asset Management";"14.52";"USA"
"EXG";"Eaton Vance Tax-Mgd Glbl Div Eq Inc";"Financial Services";"Asset Management";"10.69";"USA"
"EAUI";"EAU Technologies Inc";"Industrials";"Industrial Products";"0.01";"USA"
"EBON";"Ebang International Holdings Inc";"Technology";"Hardware";"2.52";"China"
"EBCOY";"Ebara Corp";"Industrials";"Industrial Products";"24";"Japan"
"EBCOF";"Ebara Corp";"Industrials";"Industrial Products";"45.35";"Japan"
"EBAY";"eBay Inc";"Consumer Cyclical";"Retail - Cyclical";"77.55";"USA"
"EBAYL.PFD";"eBay Inc";"Consumer Cyclical";"Retail - Cyclical";"25.14";"USA"
"EBIX";"Ebix Inc";"Technology";"Software";"28.34";"USA"
"EBINF";"eBOOK Initiative Japan Co Ltd";"Consumer Cyclical";"Retail - Cyclical";"23.35";"Japan"
"EBOSF";"Ebos Group Ltd";"Healthcare";"Medical Distribution";"21.01";"New zealand"
"EBOSY";"Ebos Group Ltd";"Healthcare";"Medical Distribution";"31.5";"New zealand"
"EBRPF";"Ebro Foods SA";"Consumer Defensive";"Consumer Packaged Goods";"21.3";"Spain"
"EBRPY";"Ebro Foods SA";"Consumer Defensive";"Consumer Packaged Goods";"19.89";"Spain"
"EBML";"eBullion Inc";"Financial Services";"Capital Markets";"0.01";"Hong Kong"
"UNHLF";"EC Healthcare";"Consumer Defensive";"Consumer Packaged Goods";"0.53";"Hong Kong"
"ECTM";"ECA Marcellus Trust I";"Energy";"Oil & Gas";"0.55";"USA"
"ECSL";"Ecare Solutions Inc";"Industrials";"Conglomerates";"0.89";"USA"
"ECRGF";"eCargo Holdings Ltd";"Industrials";"Business Services";"0.15";"Hong Kong"
"ECRO";"ECC Capital Corp";"Real Estate";"REITs";"0.08";"USA"
"ECGI";"ECGI Holdings Inc";"Healthcare";"Medical Devices & Instruments";"0.2";"USA"
"ECHO";"Echo Global Logistics Inc";"Industrials";"Transportation";"32.97";"USA"
"SATS";"EchoStar Corp";"Technology";"Hardware";"26.42";"USA"
"EKTPF";"Eckoh PLC";"Technology";"Software";"0.95";"UK"
"MOHO";"ECMOHO Ltd";"Consumer Cyclical";"Retail - Cyclical";"0.66";"China"
"ECNCF";"ECN Capital Corp";"Financial Services";"Credit Services";"8.1";"Canada"
"ECAOF";"Eco (Atlantic) Oil & Gas Ltd";"Energy";"Oil & Gas";"0.35";"Canada"
"SVSN";"Eco Allies Inc";"Communication Services";"Media - Diversified";"0.03";"USA"
"EAHGF";"Eco Animal Health Group PLC";"Healthcare";"Drug Manufacturers";"4.46";"UK"
"ECDP";"Eco Depot Inc";"Real Estate";"Real Estate";"0.93";"USA"
"ECOX";"Eco Innovation Group Inc";"Healthcare";"Drug Manufacturers";"0.03";"USA"
"GYSLF";"Eco Oro Minerals Corp";"Basic Materials";"Metals & Mining";"0.08";"Canada"
"WAVE";"Eco Wave Power Global AB";"Utilities";"Utilities - Independent Power Producers";"7.6";"Sweden"
"ECGS";"Eco-Growth Strategies Inc";"Healthcare";"Drug Manufacturers";"0.33";"USA"
"ZEST";"Ecoark Holdings Inc";"Consumer Defensive";"Retail - Defensive";"4.6";"USA"
"EOFBF";"Ecofibre Ltd";"Healthcare";"Drug Manufacturers";"0.44";"Australia"
"ECGFF";"Ecograf Ltd";"Basic Materials";"Metals & Mining";"0.55";"Australia"
"ECOCF";"EcoGreen International Group Ltd";"Basic Materials";"Chemicals";"0.18";"Hong Kong"
"ECL";"Ecolab Inc";"Basic Materials";"Chemicals";"225.48";"USA"
"ECLMF";"Ecolomondo Corp";"Industrials";"Waste Management";"0.76";"Canada"
"EPGC";"ECom Products Group";"Communication Services";"Media - Diversified";"0.1";"USA"
"EMAX";"Ecomax Inc";"Financial Services";"Diversified Financial Services";"0.95";"USA"
"ECOGF";"Econocom Group SA/NV";"Technology";"Software";"2.85";"France"
"EC";"Ecopetrol SA";"Energy";"Oil & Gas";"13.85";"Colombia"
"ECSNF";"EcoSynthetix Inc";"Basic Materials";"Chemicals";"4.23";"Canada"
"ECVT";"Ecovyst Inc";"Basic Materials";"Chemicals";"13.22";"USA"
"ENNVW";"ECP Environmental Growth Opportunities Corp";"Financial Services";"Diversified Financial Services";"0.99";"USA"
"ENNVU";"ECP Environmental Growth Opportunities Corp";"Financial Services";"Diversified Financial Services";"10.03";"USA"
"ENNV";"ECP Environmental Growth Opportunities Corp";"Financial Services";"Diversified Financial Services";"9.84";"USA"
"MTGDY";"ECR Minerals PLC";"Basic Materials";"Metals & Mining";"1.02";"UK"
"ECDD";"Ecrid Inc";"Financial Services";"Credit Services";"0.5";"USA"
"EDAP";"Edap TMS SA";"Healthcare";"Medical Devices & Instruments";"5.92";"France"
"EDCI";"EDCI Holdings Inc";"Technology";"Hardware";"0.21";"USA"
"EDHD";"Edd Helms Group Inc";"Industrials";"Industrial Products";"805";"USA"
"EDNEF";"Eden Empire Inc";"Healthcare";"Drug Manufacturers";"0.03";"Canada"
"EDEYF";"Eden Innovations Ltd";"Industrials";"Industrial Products";"0.02";"Australia"
"EDNMF";"Edenred SA";"Financial Services";"Credit Services";"58.1";"France"
"EDNMY";"Edenred SA";"Financial Services";"Credit Services";"28.15";"France"
"EDSA";"Edesa Biotech Inc";"Healthcare";"Biotechnology";"5.2";"Canada"
"EGDW";"Edgewater Bancorp Inc";"Financial Services";"Banks";"40";"USA"
"EDWZF";"Edgewater Exploration Ltd";"Basic Materials";"Metals & Mining";"0.18";"Canada"
"EDGW";"Edgewater Technology Inc";"Technology";"Software";"4.44";"USA"
"KPIFF";"Edgewater Wireless Systems Inc";"Technology";"Hardware";"0.07";"Canada"
"EPC";"Edgewell Personal Care Co";"Consumer Defensive";"Consumer Packaged Goods";"42.39";"USA"
"EWTX";"Edgewise Therapeutics Inc";"Healthcare";"Biotechnology";"15";"USA"
"EAC";"Edify Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.63";"USA"
"EACPU";"Edify Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.86";"USA"
"EACPW";"Edify Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.51";"USA"
"EDDYF";"Edison Battery Metals Corp";"Basic Materials";"Metals & Mining";"0.11";"Canada"
"EIX";"Edison International";"Utilities";"Utilities - Regulated";"57.53";"USA"
"EDIT";"Editas Medicine Inc";"Healthcare";"Biotechnology";"61.8";"USA"
"EDMMF";"Edmond de Rothschild (Suisse) SA";"Financial Services";"Banks";"17695.38";"Switzerland"
"ADOCW";"Edoc Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.23";"USA"
"ADOC";"Edoc Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.07";"USA"
"ADOCU";"Edoc Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.18";"USA"
"EDPFY";"EDP - Energias de Portugal SA";"Utilities";"Utilities - Regulated";"55";"Portugal"
"ELCPF";"EDP - Energias de Portugal SA";"Utilities";"Utilities - Regulated";"5.25";"Portugal"
"EDRVF";"EDP Renovaveis SA";"Utilities";"Utilities - Independent Power Producers";"26.11";"Spain"
"EDRVY";"EDP Renovaveis SA";"Utilities";"Utilities - Independent Power Producers";"33.61";"Spain"
"EDDRF";"Edreams Odigeo SA";"Consumer Cyclical";"Travel & Leisure";"7.3";"Spain"
"EDTX";"EdtechX Holdings Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.91";"UK"
"EDTX";"EdtechX Holdings Acquisition Corp II";"Financial Services";"Diversified Financial Services";"9.91";"UK"
"EDTXU";"EdtechX Holdings Acquisition Corp II";"Financial Services";"Diversified Financial Services";"10.12";"UK"
"EDTXW";"EdtechX Holdings Acquisition Corp II";"Financial Services";"Diversified Financial Services";"0.46";"UK"
"EDUC";"Educational Development Corp";"Communication Services";"Media - Diversified";"9.68";"USA"
