"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"GLAPF";"Glanbia PLC";"Consumer Defensive";"Consumer Packaged Goods";16,87;"Ireland";8293;0,7;"0.75";"1.32";"0.90";"0.68";"0.59";NA;"6.00";"7.00";"4.00";"5.00";"3.00";3;NA;9,98;5,93;12,32;5,69;5,19;7,32;NA
"GLAXF";"GlaxoSmithKline PLC";"Healthcare";"Drug Manufacturers";20,25;"UK";3040;1,18;"0.23";"0.42";"0.92";"1.21";"1.53";NA;"5.00";"5.00";"7.00";"7.00";"7.00";5;NA;8,4;8,22;10,17;7,16;7,27;9,69;NA
"GLCNF";"Glencore PLC";"Basic Materials";"Metals & Mining";4,6;"Switzerland";51550;0,16;"0.10";"0.40";"0.24";"-0.03";"-0.14";NA;"7.00";"7.00";"6.00";"3.00";"5.00";5;NA;1,23;4;4,41;1,69;1,28;5,68;NA
"GLDD";"Great Lakes Dredge & Dock Corp";"Industrials";"Construction";14,86;"USA";221804;0,51;"-0.13";"-0.51";"-0.10";"0.76";"1.00";NA;"4.00";"4.00";"6.00";"7.00";"7.00";5;NA;1,28;NA;1,68;3,44;4,08;1,31;NA
"GLNG";"Golar LNG Ltd";"Energy";"Oil & Gas";11,17;"Bermuda";850848;4,39;"-1.99";"-1.79";"-2.30";"-2.11";"-2.49";NA;"2.00";"6.00";"5.00";"6.00";"5.00";6;NA;NA;NA;0,96;1,25;2,43;2,6;NA
"GLOB";"Globant SA";"Technology";"Software";322,6;"Luxembourg";288151;1,77;"1.01";"0.84";"1.41";"1.43";"1.37";NA;"3.00";"3.00";"7.00";"3.00";"3.00";3;NA;61,81;44,68;104,24;15,99;9,81;10,14;NA
"GLOP";"GasLog Partners LP";"Energy";"Oil & Gas";4,2;"Greece";551014;1,07;"2.17";"2.09";"1.76";"-1.43";"0.52";NA;"5.00";"6.00";"5.00";"4.00";"5.00";5;NA;3,71;3,57;3,03;2,91;3,45;3,13;NA
"GLP";"Global Partners LP";"Energy";"Oil & Gas";20,59;"USA";142158;0,56;"-5.91";"1.74";"2.95";"0.81";"2.74";NA;"4.00";"5.00";"6.00";"3.00";"7.00";5;NA;1,15;1,38;2,24;1,54;2,33;1,63;NA
"GLPEF";"Galp Energia SGPS SA";"Energy";"Oil & Gas";9,91;"Portugal";1215;0,13;"0.23";"0.85";"1.01";"0.52";"-0.80";NA;"6.00";"7.00";"7.00";"4.00";"3.00";7;NA;11,02;33,24;39,02;8,91;NA;15,44;NA
"GLPI";"Gaming and Leisure Properties Inc";"Real Estate";"REITs";48,49;"USA";844622;2,45;"1.60";"1.79";"1.58";"1.81";"2.30";NA;"8.00";"6.00";"5.00";"6.00";"7.00";7;NA;2,59;2,79;2,64;2,42;2,72;3,01;NA
"GLRE";"Greenlight Capital Re Ltd";"Financial Services";"Insurance";8,37;"Cayman Islands";103503;1,47;"1.20";"-1.21";"-9.74";"-0.11";"0.11";NA;"6.00";"5.00";"3.00";"7.00";"4.00";5;NA;29,86;NA;NA;0,44;1,68;1,4;NA
"GLT";"Glatfelter Corp";"Basic Materials";"Forest Products";15,78;"USA";171304;0,58;"0.49";"0.18";"-4.06";"-0.49";"0.48";NA;"4.00";"5.00";"5.00";"6.00";"7.00";6;NA;NA;2,48;1,2;5,05;6,81;3,71;NA
"GLTVF";"Globaltrans Investment PLC";"Industrials";"Transportation";7,4;"Cyprus";3047;0,57;"0.42";"1.19";"1.42";"1.88";"0.80";NA;"8.00";"8.00";"7.00";"8.00";"5.00";5;NA;4,75;9,79;15,24;12,91;7,53;5,73;NA
"GLW";"Corning Inc";"Technology";"Hardware";40,06;"USA";3930438;1,01;"3.23";"-0.66";"1.13";"1.07";"0.54";NA;"7.00";"4.00";"5.00";"5.00";"6.00";7;NA;9,44;10,37;8,25;5,91;1,84;7,67;NA
"GLXZ";"Galaxy Gaming Inc";"Consumer Cyclical";"Travel & Leisure";4,35;"USA";29842;0,02;"0.04";NA;"0.03";"0.11";"-0.12";NA;"6.00";"6.00";"7.00";"7.00";"4.00";5;NA;2,8;1,48;3,91;6;NA;6,46;NA
"GM";"General Motors Co";"Consumer Cyclical";"Vehicles & Parts";49,17;"USA";16372449;8,64;"6.00";"-2.65";"5.53";"4.57";"4.33";NA;"5.00";"3.00";"7.00";"5.00";"5.00";7;NA;15,43;15,06;6,79;7,01;6,04;7,15;NA
"GMAB";"Genmab A/S";"Healthcare";"Biotechnology";47,55;"Denmark";360225;0,61;"0.27";"0.28";"0.36";"0.51";"1.18";NA;"6.00";"5.00";"6.00";"4.00";"6.00";5;NA;NA;3,8;NA;376,86;631,3;1,83;NA
"GMALY";"Genting Malaysia Bhd";"Consumer Cyclical";"Travel & Leisure";17;"Malaysia";500;-1,91;"2.85";"1.25";"-0.02";"1.49";"-2.47";NA;"5.00";"5.00";"5.00";"5.00";"2.00";2;NA;43,51;12,02;11,11;5,79;NA;0;NA
"GMBXF";"Grupo Mexico SAB de CV";"Basic Materials";"Metals & Mining";4,6;"Mexico";62708;0,52;"0.14";"0.20";"0.17";"0.28";"0.29";NA;"6.00";"6.00";"6.00";"7.00";"8.00";8;NA;6,33;7,95;7,8;7,17;7,92;12,57;NA
"GMDMF";"Gem Diamonds Ltd";"Basic Materials";"Metals & Mining";1,05;"UK";2988;0,17;"-1.15";"0.04";"0.18";"0.02";"0.10";NA;"3.00";"6.00";"7.00";"5.00";"8.00";8;NA;18,06;7,82;21,05;3,93;9,9;15,64;NA
"GMHLF";"GAM Holding AG";"Financial Services";"Asset Management";1,9;"Switzerland";105502;0;"0.83";"0.79";"-5.95";"-0.02";"-2.79";NA;"5.00";"6.00";"4.00";"6.00";"4.00";4;NA;30,18;16,59;1,32;0,04;NA;1,72;NA
"GMOYF";"GMO internet Inc";"Communication Services";"Telecommunication Services";25;"Japan";804;1,33;"0.53";"0.61";"-1.60";"0.66";"0.88";NA;"3.00";"6.00";"3.00";"4.00";"5.00";5;NA;140,64;106,93;70,28;133,05;71,52;91,37;NA
"GMRE";"Global Medical REIT Inc";"Real Estate";"REITs";15,43;"USA";279592;-0,13;"-0.68";"-0.09";"0.35";"0.10";"-0.17";NA;"3.00";"4.00";"5.00";"5.00";"2.00";3;NA;0,03;1,33;1,49;1,56;0,89;1,84;NA
"GMVHF";"Entain PLC";"Consumer Cyclical";"Travel & Leisure";26,55;"UK";777;0,32;"-0.54";"-0.16";"-0.15";"-0.35";"0.13";NA;"4.00";"5.00";"3.00";"4.00";"6.00";6;NA;NA;3,21;2,83;1,72;3,58;4,99;NA
"GMXTF";"GMecxico Transportes SA de CV";"Basic Materials";"Metals & Mining";1,7;"Mexico";16467;0,08;"0.08";"0.08";"0.09";"0.08";"0.07";NA;"N/A";"4.00";"6.00";"7.00";"5.00";6;NA;24,32;7,36;4,76;5,11;5,34;6,49;NA
"GNCGY";"Greencore Group PLC";"Consumer Defensive";"Consumer Packaged Goods";7,63;"Ireland";928;-0,41;"0.49";"0.10";"0.25";"0.99";"-0.14";NA;"6.00";"5.00";"6.00";"6.00";"5.00";5;NA;4,32;3,54;3,42;6,93;1,78;0;NA
"GNE";"Genie Energy Ltd";"Utilities";"Utilities - Regulated";6,69;"USA";55840;0,28;"-1.14";"-0.36";"0.83";"0.10";"0.44";NA;"4.00";"4.00";"6.00";"4.00";"7.00";5;NA;499,37;1,64;36,71;19,29;63,21;13,17;NA
"GNENF";"Ganfeng Lithium Co Ltd";"Basic Materials";"Chemicals";22,28;"Hong Kong";21091;0,26;"0.06";"0.20";"0.17";"0.04";"0.12";NA;"8.00";"6.00";"4.00";"3.00";"4.00";8;NA;38,55;27,05;16,66;4,25;3,33;14,49;NA
"GNGBF";"Getinge AB";"Healthcare";"Medical Devices & Instruments";43,8;"Sweden";483;1,68;"0.53";"0.65";"-0.39";"0.48";"1.42";NA;"6.00";"6.00";"5.00";"9.00";"8.00";7;NA;5,31;4,41;NA;6,5;19,76;25,4;NA
"GNHAF";"Vifor Pharma AG";"Healthcare";"Drug Manufacturers";143,2;"Switzerland";303;7,16;"3.58";"17.90";"2.36";"2.49";"6.23";NA;"6.00";"5.00";"5.00";"5.00";"7.00";7;NA;7,73;5,33;33,46;30,4;33,81;36,96;NA
"GNL";"Global Net Lease Inc";"Real Estate";"REITs";17,18;"USA";604790;-0,31;"0.82";"0.30";"0.01";"0.39";"-0.09";NA;"4.00";"6.00";"6.00";"7.00";"4.00";5;NA;1,79;1,82;1,6;1,54;1,39;1,49;NA
"GNLAF";"Genesis Land Development Corp";"Real Estate";"Real Estate";2,1;"Canada";1354;0,15;"0.10";"0.31";"0.07";"0.03";NA;NA;"7.00";"8.00";"4.00";"6.00";"6.00";7;NA;20,22;96,48;30,69;10,58;0,64;11,19;NA
"GNRC";"Generac Holdings Inc";"Industrials";"Industrial Products";442,7;"USA";729704;8,13;"1.47";"2.53";"3.54";"4.03";"5.48";NA;"8.00";"8.00";"8.00";"6.00";"8.00";7;NA;4,55;5,87;8,72;8,96;14,52;23,7;NA
"GNW";"Genworth Financial Inc";"Financial Services";"Insurance";3,65;"USA";2805805;2,18;"-0.56";"1.63";"0.24";"0.67";"0.35";NA;"7.00";"6.00";"6.00";"8.00";"6.00";6;NA;1,95;1,48;1,54;3,99;6,1;8,44;NA
"GNZUF";"Guangzhou Automobile Group Co Ltd";"Consumer Cyclical";"Vehicles & Parts";1,05;"Hong Kong";28843;0,12;"0.10";"0.17";"0.15";"0.09";"0.09";NA;"5.00";"8.00";"2.00";"2.00";"3.00";5;NA;2,39;8,52;6,14;NA;NA;0;NA
"GO";"Grocery Outlet Holding Corp";"Consumer Defensive";"Retail - Defensive";25,46;"USA";928683;1,04;"0.14";"0.28";"0.21";"0.19";"1.08";NA;"N/A";"N/A";"N/A";"6.00";"7.00";6;NA;1,46;1,66;1,57;1,5;5,51;6,53;NA
"GOGL";"Golden Ocean Group Ltd";"Industrials";"Transportation";12,08;"Bermuda";1037085;1,14;"-1.34";"-0.02";"0.59";"0.26";"-0.96";NA;"5.00";"6.00";"7.00";"6.00";"4.00";6;NA;NA;0,9;1,94;1,76;0,75;11,49;NA
"GOGO";"Gogo Inc";"Communication Services";"Telecommunication Services";13,67;"USA";974522;-1,68;"-1.58";"-2.17";"-2.02";"-1.81";"-3.04";NA;"4.00";"2.00";"4.00";"4.00";"3.00";4;NA;NA;NA;0,68;0,76;0,64;1,94;NA
"GOL";"Gol Intelligent Airlines Inc";"Industrials";"Transportation";7,76;"Brazil";1426291;-9,56;"1.46";"0.03";"-1.60";"-0.16";"-6.54";NA;"4.00";"7.00";"3.00";"6.00";"2.00";2;NA;0,85;1,09;1,58;4,31;NA;0;NA
"GOLD";"Barrick Gold Corp";"Basic Materials";"Metals & Mining";19,81;"Canada";15159895;1,42;"0.56";"1.23";"-1.32";"2.26";"1.31";NA;"8.00";"7.00";"4.00";"7.00";"7.00";6;NA;4,27;4,72;3,11;5,82;14,13;12,89;NA
"GOLF";"Acushnet Holdings Corp";"Consumer Cyclical";"Travel & Leisure";51,13;"USA";160790;3,34;"0.62";"1.32";"1.32";"1.60";"1.28";NA;"7.00";"5.00";"8.00";"8.00";"6.00";8;NA;2,81;10,04;8,99;9,53;12,4;59,08;NA
"GOOD";"Gladstone Commercial Corp";"Real Estate";"REITs";22,54;"USA";136492;0,01;"-0.16";"-0.19";"0.03";"-0.16";"0.09";NA;"6.00";"6.00";"6.00";"5.00";"7.00";5;NA;1,27;1,36;1,36;1,27;1,38;1,29;NA
"GOOG";"Alphabet Inc";"Communication Services";"Interactive Media";2909,39;"USA";967859;92,25;"27.85";"18.00";"43.70";"49.16";"58.61";NA;"6.00";"5.00";"7.00";"5.00";"4.00";7;NA;191,26;265,27;285,92;359,28;305,36;273,13;NA
"GPAEF";"Grupo Aeroportuario del Pacifico SAB de CV";"Industrials";"Transportation";10,7;"Mexico";497;0,29;"0.31";"0.46";"0.48";"0.53";"0.19";NA;"6.00";"8.00";"8.00";"8.00";"5.00";7;NA;14,66;10,32;8;6,95;2,74;5,63;NA
"GPAGF";"Gruma SAB de CV";"Consumer Defensive";"Consumer Packaged Goods";11,02;"Mexico";755;0,72;"0.67";"0.75";"0.58";"0.61";"0.67";NA;"6.00";"3.00";"5.00";"6.00";"8.00";7;NA;13,49;11,5;6,97;4,61;6,76;8,52;NA
"GPC";"Genuine Parts Co";"Consumer Cyclical";"Retail - Cyclical";123,64;"USA";563980;5,61;"4.59";"4.18";"5.50";"4.24";"-0.20";NA;"6.00";"5.00";"6.00";"6.00";"4.00";7;NA;49,74;24,07;10,17;10,58;10,37;19,76;NA
"GPGNF";"Grupo Gigante SAB de CV";"Consumer Cyclical";"Retail - Cyclical";1,19;"Mexico";715;0;"0.14";"0.07";"0.06";"0.03";"-0.11";NA;"6.00";"8.00";"6.00";"5.00";"4.00";6;NA;1,8;2,62;1,92;1,59;NA;1,16;NA
"GPI";"Group 1 Automotive Inc";"Consumer Cyclical";"Vehicles & Parts";164,86;"USA";169454;28,03;"6.67";"10.08";"7.83";"9.34";"15.51";NA;"7.00";"7.00";"6.00";"8.00";"8.00";8;NA;3,31;2,94;2,84;2,83;5,13;11,81;NA
"GPK";"Graphic Packaging Holding Co";"Consumer Cyclical";"Packaging & Containers";20,45;"USA";3086433;0,79;"0.71";"0.96";"0.71";"0.70";"0.60";NA;"4.00";"3.00";"5.00";"7.00";"5.00";6;NA;5,8;4;3,82;4,07;4,55;5,31;NA
"GPN";"Global Payments Inc";"Industrials";"Business Services";161,3;"USA";2847913;2,9;"2.04";"3.01";"2.84";"2.16";"1.95";NA;"4.00";"5.00";"6.00";"6.00";"4.00";6;NA;6,13;3,2;3,77;2,6;2,6;4,5;NA
"GPOR";"Gulfport Energy Corp";"Energy";"Oil & Gas";66,15;"USA";41824;-6,85;"-7.97";"2.41";"2.45";"-12.49";"-10.14";NA;"4.00";"7.00";"5.00";"5.00";"4.00";5;NA;NA;5,05;2,94;2,52;0,22;NA;NA
"GPOVF";"Grupo Carso SAB de CV";"Industrials";"Conglomerates";3,13;"Mexico";1744;0,18;"0.21";"0.23";"0.20";"0.17";"0.13";NA;"6.00";"5.00";"5.00";"4.00";"4.00";7;NA;16,36;7,13;6,08;5,22;1,48;2,81;NA
"GPP";"Green Plains Partners LP";"Energy";"Oil & Gas";13,15;"USA";38052;1,77;"1.75";"1.81";"1.81";"1.76";"1.74";NA;"7.00";"8.00";"5.00";"6.00";"4.00";8;NA;23,38;11,88;8,24;5,92;5,78;8,23;NA
"GPRK";"GeoPark Ltd";"Energy";"Oil & Gas";11,78;"Colombia";195203;-2,24;"-0.82";"-0.40";"1.11";"0.92";"-3.84";NA;"5.00";"6.00";"7.00";"6.00";"4.00";4;NA;NA;3,11;7,74;7,58;1,24;5,96;NA
"GPTGF";"GPT Group";"Real Estate";"REITs";3,45;"Australia";650;0,42;"0.47";"0.54";"0.58";"0.32";"-0.08";NA;"5.00";"3.00";"5.00";"5.00";"3.00";3;NA;4,47;4,38;3,84;4,47;4,01;5,11;NA
"GPX";"GP Strategies Corp";"Consumer Defensive";"Education";20,73;"USA";228345;0,73;"1.21";"0.76";"0.59";"0.90";"0.41";NA;"6.00";"4.00";"5.00";"5.00";"6.00";8;NA;20,13;7,86;6,14;2,78;2,51;29,56;NA
"GRA";"W R Grace & Co";"Basic Materials";"Chemicals";69,68;"USA";476421;1,16;"1.33";"0.16";"2.49";"1.89";"-0.03";NA;"7.00";"6.00";"8.00";"6.00";"5.00";6;NA;3,9;4,29;5,03;5,61;3,52;4,96;NA
"GRCLF";"Graincorp Ltd";"Consumer Defensive";"Consumer Packaged Goods";4,47;"Australia";3038;0,03;"0.10";"0.44";"0.22";"-0.34";"1.08";NA;"4.00";"8.00";"4.00";"4.00";"4.00";4;NA;0,76;3,41;1,11;NA;NA;2,14;NA
"GRFFF";"Fibra Danhos";"Real Estate";"REITs";1,18;"Mexico";1000;0,08;"0.19";"0.18";"0.14";"0.15";"0.09";NA;"5.00";"6.00";"5.00";"6.00";"5.00";6;NA;89,01;20,56;10,29;8,81;8,58;9,43;NA
"GRGTF";"Grainger PLC";"Real Estate";"Real Estate";4,21;"UK";7118;0,18;"0.39";"0.22";"0.25";"0.25";"0.18";NA;"6.00";"4.00";"6.00";"6.00";"6.00";6;NA;2,13;3,3;4,23;3,45;3,53;3,06;NA
"GRNNF";"Grand City Properties SA";"Real Estate";"Real Estate";29;"Luxembourg";194;1,86;"3.43";"3.62";"3.14";"2.56";"2.45";NA;"4.00";"3.00";"6.00";"3.00";"4.00";5;NA;6,17;6,11;5,92;6,48;5,56;6,63;NA
"GROUF";"Grafton Group PLC";"Industrials";"Construction";18,3;"Ireland";100;1,87;"0.49";"0.72";"0.80";"0.66";"0.61";NA;"5.00";"8.00";"6.00";"5.00";"6.00";6;NA;21,89;30,93;29,56;7,09;6,58;13,06;NA
"GRP.U";"Granite Real Estate Investment Trust";"Real Estate";"REITs";72,6;"Canada";2795;10,59;"4.44";"5.97";"7.58";"5.37";"5.44";NA;"4.00";"6.00";"6.00";"3.00";"3.00";5;NA;9,49;10,4;10,08;7,42;7,73;8,22;NA
"GRPFF";"Grupo Televisa SAB";"Communication Services";"Media - Diversified";2,53;"Mexico";347;0,14;"0.06";"0.06";"0.12";"0.06";"-0.02";NA;"3.00";"6.00";"7.00";"6.00";"3.00";8;NA;2,22;1,77;1,89;1,73;1,6;2,25;NA
"GRPN";"Groupon Inc";"Communication Services";"Interactive Media";23,72;"USA";1269277;0,26;"-6.80";"0.40";"-0.39";"-0.79";"-10.07";NA;"5.00";"6.00";"5.00";"5.00";"1.00";5;NA;NA;1,5;2,46;1,69;NA;2,24;NA
"GRPOF";"Grupo Traxion SAB de CV";"Industrials";"Transportation";1,87;"Mexico";8338;0,08;"0.01";"0.05";"0.04";"0.04";"0.06";NA;"N/A";"N/A";"5.00";"6.00";"8.00";7;NA;3,41;1,64;2,4;1,66;2,74;3,36;NA
"GRPTF";"Getlink SE";"Industrials";"Transportation";16,25;"France";436;-0,35;"0.39";"0.25";"0.27";"0.32";"-0.26";NA;"7.00";"6.00";"7.00";"5.00";"5.00";5;NA;1,52;1,99;2,44;2,48;0,87;0,1;NA
"GRRMF";"Gerresheimer AG";"Healthcare";"Medical Devices & Instruments";103,29;"Germany";989;3,54;"4.18";"3.77";"4.67";"2.84";"3.33";NA;"7.00";"6.00";"6.00";"4.00";"8.00";8;NA;5,28;4,98;6,26;1,15;8,67;6,55;NA
"GSHD";"Goosehead Insurance Inc";"Financial Services";"Insurance";141,05;"USA";179360;0,36;"0.14";NA;"-0.66";"0.22";"0.51";NA;"N/A";"N/A";"5.00";"7.00";"6.00";6;NA;12,44;4,51;NA;5,9;8,67;7,15;NA
"GSKY";"GreenSky Inc";"Technology";"Software";7,79;"USA";752604;0,39;"0.66";"0.73";"0.41";"0.49";"0.14";NA;"N/A";"N/A";"5.00";"6.00";"2.00";5;NA;NA;19,32;6,6;4,96;2,1;8,51;NA
"GSL";"Global Ship Lease Inc";"Industrials";"Transportation";20,57;"UK";706513;2,29;"-11.39";"-12.89";"-7.42";"1.48";"1.22";NA;"5.00";"5.00";"4.00";"7.00";"4.00";8;NA;1,6;1,22;1,26;1,49;1,74;2,69;NA
"GSS";"Golden Star Resources Ltd";"Basic Materials";"Metals & Mining";2,5;"Canada";686358;-0,6;"-0.65";"0.48";"-0.21";"-0.62";"-0.47";NA;"6.00";"8.00";"3.00";"3.00";"7.00";5;NA;NA;5,62;NA;4,21;7,86;5,48;NA
"GT";"Goodyear Tire & Rubber Co";"Consumer Cyclical";"Vehicles & Parts";15,83;"USA";3208432;0,58;"4.74";"1.37";"2.89";"-1.33";"-5.35";NA;"8.00";"6.00";"6.00";"3.00";"2.00";6;NA;4,88;4,23;3,74;2,41;NA;2,51;NA
"GTES";"Gates Industrial Corp PLC";"Industrials";"Industrial Products";16,85;"USA";1144791;0,78;"0.20";"0.53";"0.84";"2.37";"0.27";NA;"N/A";"N/A";"7.00";"5.00";"5.00";7;NA;1,48;1,88;2,9;2,52;1,84;4,69;NA
"GTLS";"Chart Industries Inc";"Industrials";"Industrial Products";187,44;"USA";401444;8,39;"0.91";"0.89";"2.73";"1.32";"8.45";NA;"6.00";"4.00";"6.00";"4.00";"5.00";5;NA;2,79;2,23;3,01;3,54;6,11;4,28;NA
"GTMEF";"Globe Telecom Inc";"Communication Services";"Telecommunication Services";56,42;"Philippines";1035;2,91;"2.31";"2.18";"2.71";"3.25";"2.69";NA;"4.00";"5.00";"7.00";"7.00";"5.00";3;NA;8,39;6,14;6,55;7,2;6,99;6,49;NA
"GTN";"Gray Television Inc";"Communication Services";"Media - Diversified";22,7;"USA";477242;3,9;"0.86";"3.55";"2.37";"1.27";"3.69";NA;"7.00";"5.00";"6.00";"5.00";"8.00";8;NA;2,41;2,27;3,48;1,87;3,79;2,28;NA
"GTX";"Garrett Motion Inc";"Consumer Cyclical";"Vehicles & Parts";6,82;"Switzerland";311359;0,83;"2.62";"-12.95";"16.21";"4.12";"1.05";NA;"N/A";"N/A";"N/A";"4.00";"5.00";5;NA;61,86;61;27,47;6,7;3,48;5,92;NA
"GTY";"Getty Realty Corp";"Real Estate";"REITs";31,58;"USA";130765;1,72;"1.12";"1.26";"1.17";"1.19";"1.62";NA;"5.00";"7.00";"5.00";"4.00";"7.00";6;NA;3,41;3,64;3,11;2,83;2,89;3,14;NA
"GUKYF";"Gulf Keystone Petroleum Ltd";"Energy";"Oil & Gas";2,26;"Bermuda";1944;0,22;"-0.31";"0.06";"0.34";"0.18";"-0.23";NA;"7.00";"5.00";"8.00";"4.00";"3.00";3;NA;0,43;2,21;6,37;4,42;NA;11,5;NA
"GUZOF";"Grupo Herdez SAB de CV";"Consumer Defensive";"Consumer Packaged Goods";2,05;"Mexico";2756;0,1;"0.08";"0.13";"0.14";"0.13";"0.11";NA;"6.00";"8.00";"8.00";"5.00";"5.00";4;NA;5,06;4,76;4,88;3,97;3,15;3,33;NA
"GVA";"Granite Construction Inc";"Industrials";"Construction";41,03;"USA";268460;-2,14;"1.42";"0.84";"0.01";"-1.29";"-3.18";NA;"5.00";"5.00";"5.00";"3.00";"6.00";5;NA;6,79;5,4;4,26;NA;NA;6,7;NA
"GVDBF";"Givaudan SA";"Basic Materials";"Chemicals";4838,57;"Switzerland";5;96,98;"68.02";"78.56";"71.94";"76.93";"90.01";NA;"7.00";"7.00";"4.00";"5.00";"5.00";5;NA;15,4;20,6;15,93;11,89;11,67;13,3;NA
"GWLIF";"Great-West Lifeco Inc";"Financial Services";"Insurance";31;"Canada";6051;2,73;"2.00";"1.70";"2.23";"1.89";"2.48";NA;"5.00";"5.00";"7.00";"5.00";"6.00";6;NA;13,19;11,07;18,05;11;11,63;15,48;NA
"GWLLF";"Great Wall Motor Co Ltd";"Consumer Cyclical";"Vehicles & Parts";4,57;"China";9529;0,13;"0.17";"0.08";"0.08";"0.07";"0.09";NA;"6.00";"1.00";"5.00";"5.00";"5.00";8;NA;248,57;25,26;11,63;28,43;21,84;12,94;NA
"GWRS";"Global Water Resources Inc";"Utilities";"Utilities - Regulated";19,85;"USA";30525;0,12;"-0.13";"0.23";"0.15";"0.10";"0.05";NA;"5.00";"7.00";"7.00";"4.00";"7.00";7;NA;0,49;1,43;1,76;1,29;1,36;1,73;NA
"GWW";"W.W. Grainger Inc";"Industrials";"Industrial Distribution";435,37;"USA";237385;16,28;"9.87";"10.02";"13.73";"15.32";"12.82";NA;"5.00";"6.00";"8.00";"7.00";"6.00";6;NA;14,64;12,03;14,12;15,97;10,96;15,18;NA
"GXSBF";"Geox SpA";"Consumer Cyclical";"Manufacturing - Apparel & Accessories";1,23;"Italy";1750;-0,39;"0.01";"0.07";"-0.02";"-0.11";"-0.61";NA;"4.00";"7.00";"5.00";"4.00";"3.00";3;NA;1,25;4,46;2,13;NA;NA;0;NA
"GXYEF";"Galaxy Entertainment Group Ltd";"Consumer Cyclical";"Travel & Leisure";6,44;"Hong Kong";4100;-0,01;"0.19";"0.31";"0.40";"0.38";"-0.12";NA;"7.00";"6.00";"6.00";"5.00";"3.00";3;NA;140,9;154,66;89,86;97,31;NA;10,82;NA
"GZPFY";"Gazprom Neft PJSC";"Energy";"Oil & Gas";29,05;"Russia";5368;4,63;"3.52";"4.66";"5.74";"6.84";"1.67";NA;"7.00";"8.00";"8.00";"6.00";"5.00";8;NA;6,95;12,04;21,27;13,63;5,05;20,47;NA
"GZTGF";"Gazit-Globe Ltd";"Real Estate";"Real Estate";7,04;"Israel";120;-0,04;"1.23";"0.78";"-0.41";"1.09";"-1.22";NA;"7.00";"4.00";"6.00";"8.00";"5.00";5;NA;1,48;1,61;1,76;2,04;1,89;0,99;NA
"GZUHY";"Guangzhou R&F Properties Co Ltd";"Real Estate";"Real Estate";16,32;"China";254;6,98;"6.07";"19.94";"7.55";"8.56";"7.74";NA;"3.00";"4.00";"4.00";"2.00";"4.00";4;NA;4,78;5,54;5,86;3,94;2,14;2,08;NA
"H";"Hyatt Hotels Corp";"Consumer Cyclical";"Travel & Leisure";73,48;"USA";494697;-6,66;"1.53";"3.08";"6.68";"7.21";"-6.93";NA;"7.00";"9.00";"5.00";"5.00";"3.00";1;NA;3,53;3,25;4,37;2,63;NA;0;NA
"HA";"Hawaiian Holdings Inc";"Industrials";"Transportation";19,8;"USA";1097713;-6,96;"4.15";"6.19";"4.62";"4.71";"-11.08";NA;"8.00";"7.00";"4.00";"5.00";"3.00";3;NA;14,92;21,7;13,92;14,01;NA;1,5;NA
"HAIPF";"Hadera Paper Ltd";"Basic Materials";"Forest Products";62;"Israel";467;1,06;"0.56";"2.13";"6.09";"1.10";"0.17";NA;"5.00";"8.00";"8.00";"4.00";"6.00";7;NA;1,29;2,52;3,6;1,07;1,35;3,64;NA
"HAL";"Halliburton Co";"Energy";"Oil & Gas";20,16;"USA";8452484;0,16;"-6.69";"-0.53";"1.89";"-1.29";"-3.34";NA;"2.00";"5.00";"9.00";"2.00";"3.00";6;NA;1,01;3,41;4,93;3,62;2,7;3,22;NA
"HALL";"Hallmark Financial Services Inc";"Financial Services";"Insurance";3,68;"USA";137306;-1,38;"0.34";"-0.63";"0.57";"-0.03";"-5.05";NA;"5.00";"4.00";"4.00";"4.00";"2.00";3;NA;2,86;NA;3,82;0,81;NA;0,57;NA
"HAS";"Hasbro Inc";"Consumer Cyclical";"Travel & Leisure";98,33;"USA";680522;3,04;"4.34";"3.12";"1.74";"4.05";"1.62";NA;"7.00";"4.00";"5.00";"7.00";"5.00";6;NA;8,09;8,25;3,64;6,4;3,58;8,5;NA
"HAWPF";"Haw Par Corp Ltd";"Healthcare";"Drug Manufacturers";9,71;"Singapore";1200;0,28;"0.40";"0.41";"0.59";"0.61";"0.41";NA;"6.00";"7.00";"5.00";"5.00";"4.00";4;NA;184,38;191,19;357,32;402,71;183,29;899,64;NA
"HAYN";"Haynes International Inc";"Industrials";"Industrial Products";39,05;"USA";39389;-1,37;"0.40";"-0.83";"-1.75";"0.78";"-0.53";NA;"3.00";"3.00";"3.00";"7.00";"4.00";4;NA;7,56;0,31;5,47;17,97;0,46;4,54;NA
"HBB";"Hamilton Beach Brands Holding Co";"Technology";"Hardware";17,02;"USA";22854;1,44;"1.92";"1.16";"1.29";"-0.99";"3.37";NA;"N/A";"N/A";"4.00";"3.00";"5.00";4;NA;31,57;20,73;11,51;9,01;18,73;1,27;NA
