"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"CSL";"Carlisle Companies Inc";"Industrials";"Construction";214,16;"USA";249716;6,2;"3.82";"5.71";"10.02";"8.19";"5.80";NA;"7.00";"6.00";"6.00";"7.00";"5.00";5;NA;17,11;13,65;7,87;9,9;6,31;8,41;NA
"CSNVF";"Corbion NV";"Basic Materials";"Chemicals";54,17;"Netherlands";638;2,37;"1.81";"1.70";"1.05";"0.48";"1.50";NA;"7.00";"5.00";"4.00";"3.00";"6.00";6;NA;16,48;14,39;6,92;4,32;7,6;6,63;NA
"CSOD";"Cornerstone OnDemand Inc";"Technology";"Software";56,98;"USA";1149258;-0,43;"-1.20";"-1.07";"-0.58";"-0.07";"-0.63";NA;"7.00";"6.00";"6.00";"5.00";"3.00";4;NA;NA;NA;0,04;0,55;0,39;1,66;NA
"CSPKY";"COSCO SHIPPING Ports Ltd";"Industrials";"Transportation";7,41;"Hong Kong";2109;1,09;"0.83";"1.69";"1.06";"0.98";"1.08";NA;"4.00";"4.00";"4.00";"5.00";"2.00";2;NA;1,82;2,09;2,8;1,44;1,15;1,97;NA
"CSPLF";"Countryside Properties PLC";"Consumer Cyclical";"Homebuilding & Construction";7,5;"UK";6084;-0,03;"0.18";"0.36";"0.43";"0.46";"-0.01";NA;"5.00";"6.00";"5.00";"6.00";"1.00";1;NA;3,29;13,29;13,1;15,08;NA;4,19;NA
"CSQPF";"Cervus Equipment Corp";"Industrials";"Farm & Heavy Construction Machinery";15,33;"Canada";22337;1,69;"1.08";"0.94";"1.12";"-0.43";"1.22";NA;"6.00";"6.00";"6.00";"3.00";"7.00";9;NA;2,5;5,67;5,67;NA;3,9;8,21;NA
"CSR";"Centerspace";"Real Estate";"Real Estate";100,24;"USA";73902;1,91;"0.49";"2.58";"8.71";"6.00";"-0.15";NA;"7.00";"6.00";"5.00";"5.00";"4.00";5;NA;1,09;0,89;NA;0,41;0,34;0,38;NA
"CSTE";"Caesarstone Ltd";"Industrials";"Construction";13,17;"Israel";71989;0,76;"2.08";"0.73";"0.72";"0.37";"0.21";NA;"6.00";"4.00";"4.00";"4.00";"4.00";6;NA;25,33;15,84;9,98;9,47;6,7;3;NA
"CSTM";"Constellium SE";"Basic Materials";"Metals & Mining";19,83;"France";1053323;1,62;"-0.04";"-0.33";"1.56";"0.46";"-0.18";NA;"5.00";"4.00";"6.00";"5.00";"4.00";7;NA;1,36;1,7;1,87;1,85;1,56;4,24;NA
"CSU";"Capital Senior Living Corp";"Healthcare";"Healthcare Providers & Services";36,57;"USA";38834;-72,7;"-14.55";"-22.50";"-26.97";"-17.87";"-144.08";NA;"2.00";"3.00";"3.00";"4.00";"2.00";2;NA;0,34;0,42;0,15;NA;NA;0;NA
"CSUAY";"China Shenhua Energy Co Ltd";"Energy";"Other Energy Sources";8,34;"China";37498;1,37;"0.66";"1.37";"1.28";"1.24";"1.21";NA;"8.00";"7.00";"6.00";"5.00";"6.00";7;NA;9,26;15,41;15,87;22,31;28,17;161,73;NA
"CSV";"Carriage Services Inc";"Consumer Cyclical";"Personal Services";45,29;"USA";117451;1,14;"1.12";"2.09";"0.63";"0.80";"0.89";NA;"5.00";"5.00";"4.00";"8.00";"5.00";7;NA;3,22;2,83;1,86;2,03;2,4;2,91;NA
"CSX";"CSX Corp";"Industrials";"Transportation";33,1;"USA";9183455;1,48;"0.60";"2.00";"1.28";"1.39";"1.20";NA;"5.00";"6.00";"7.00";"6.00";"6.00";9;NA;5,81;6,85;7,62;6,74;5,79;7,77;NA
"CSYJY";"CSE Global Ltd";"Technology";"Software";3,53;"Singapore";200;0,33;"0.29";"-0.65";"0.28";"0.34";"0.41";NA;"7.00";"4.00";"8.00";"5.00";"7.00";7;NA;38,53;5,47;32,33;14,07;12,87;10,98;NA
"CTAGY";"Capita PLC";"Industrials";"Business Services";2,27;"UK";100;0,89;"-0.27";"-0.58";"0.92";"-0.20";"0.05";NA;"4.00";"4.00";"5.00";"3.00";"6.00";6;NA;2,56;NA;0,58;0,01;NA;1,79;NA
"CTG";"Computer Task Group Inc";"Technology";"Software";8,74;"USA";24849;0,55;"-2.22";"0.05";"-0.20";"0.29";"0.53";NA;"5.00";"7.00";"5.00";"5.00";"7.00";6;NA;5,55;7,08;2,47;7,4;11,62;7,65;NA
"CTJHY";"CITIC Resources Holdings Ltd";"Basic Materials";"Metals & Mining";9,2;"Hong Kong";100;1,62;"1.19";"1.69";"2.95";"1.96";"-1.20";NA;"7.00";"8.00";"8.00";"6.00";"4.00";4;NA;NA;0,49;1,35;0,01;NA;4,95;NA
"CTO";"CTO Realty Growth Inc";"Real Estate";"REITs";55,37;"USA";32212;16,96;"2.85";"7.48";"6.72";"23.00";"16.69";NA;"7.00";"7.00";"6.00";"6.00";"4.00";4;NA;3,46;0,97;0,94;1,02;1,15;1,47;NA
"CTOWY";"China Tower Corp Ltd";"Communication Services";"Telecommunication Services";13;"China";455;0,61;"0.01";"0.17";"0.26";"0.42";"0.56";NA;"N/A";"7.00";"8.00";"7.00";"8.00";8;NA;1;1,46;1,66;2,65;3,36;3,75;NA
"CTPCF";"CITIC Ltd";"Industrials";"Conglomerates";1,2;"Hong Kong";7770;0,33;"0.19";"0.19";"0.22";"0.24";"0.25";NA;"4.00";"6.00";"6.00";"8.00";"6.00";6;NA;16,01;12,97;7,57;7,36;8,4;13,34;NA
"CTPZY";"Cia de Transmissao de Energia Eletrica Paulista";"Utilities";"Utilities - Regulated";4,5;"Brazil";10040;1,02;"2.24";"0.63";"0.74";"0.81";"0.99";NA;"7.00";"3.00";"6.00";"4.00";"4.00";6;NA;49,75;16,18;15,39;14,4;22,45;16,75;NA
"CTRE";"CareTrust REIT Inc";"Real Estate";"REITs";21,83;"USA";475615;0,88;"0.52";"0.35";"0.72";"0.49";"0.85";NA;"6.00";"5.00";"7.00";"5.00";"6.00";7;NA;2,29;2,37;2,95;3,02;4,31;4,18;NA
"CTRRF";"CT Real Estate Investment Trust";"Real Estate";"REITs";13,84;"Canada";200;0,95;"0.81";"0.97";"0.82";"0.91";"0.60";NA;"4.00";"6.00";"4.00";"5.00";"6.00";7;NA;3,49;3,46;3,36;3,38;3,5;3,73;NA
"CTS";"CTS Corp";"Technology";"Hardware";35,96;"USA";116839;1,2;"1.03";"0.43";"1.39";"1.09";"1.06";NA;"6.00";"5.00";"9.00";"5.00";"5.00";7;NA;14,79;12,97;31,7;23,11;14,35;37,52;NA
"CTSH";"Cognizant Technology Solutions Corp";"Technology";"Software";76,85;"USA";3015324;3,15;"2.55";"2.53";"3.60";"3.29";"2.57";NA;"6.00";"6.00";"8.00";"4.00";"5.00";6;NA;120,47;111;104,44;102,69;97,04;243;NA
