"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021"
"RNGR";"Ranger Energy Services Inc";"Energy";"Oil & Gas";"7,54";"USA";16779;"-1,94";NA;"-0.78";"-0.39";"0.21";"-1.21";NA
"RNLSY";"Renault SA";"Consumer Cyclical";"Vehicles & Parts";"7,34";"France";32746;"-0,32";"2.63";"4.51";"2.76";"-0.12";"-7.18";NA
"RNMBF";"Rheinmetall AG";"Industrials";"Industrial Distribution";"98,75";"Germany";596;"6,06";"4.95";"6.20";"8.08";"8.63";"-0.75";NA
"RNR";"RenaissanceRe Holdings Ltd";"Financial Services";"Insurance";"158,13";"Bermuda";307234;"8,16";"11.43";"-6.15";"4.91";"16.29";"15.31";NA
"RNRTY";"Reunert Ltd";"Industrials";"Industrial Products";"6,96";"South africa";225;"0,5";"0.82";"1.02";"0.96";"0.65";"0.04";NA
"RNSHF";"Renishaw PLC";"Technology";"Hardware";"76,88";"UK";463;"0,85";"0.94";"1.57";"2.43";"1.61";"0.01";NA
"RNST";"Renasant Corp";"Financial Services";"Banks";"35,49";"USA";251715;"2,83";"2.17";"1.96";"2.79";"2.88";"1.48";NA
"RNWEF";"REC Silicon ASA";"Technology";"Semiconductors";"1,89";"Norway";2069;"-0,01";"-0.60";"-1.40";"-1.34";"-0.47";"-0.16";NA
"RNWK";"RealNetworks Inc";"Communication Services";"Interactive Media";"1,95";"USA";388808;"-0,17";"-0.99";"-0.44";"-0.66";"-0.53";"-0.13";NA
"ROAD";"Construction Partners Inc";"Industrials";"Construction";"33,56";"USA";182033;"0,57";"0.43";"0.51";"1.11";"0.84";"0.78";NA
"ROCK";"Gibraltar Industries Inc";"Industrials";"Construction";"75,39";"USA";90359;"1,94";"1.05";"1.94";"1.96";"1.99";"1.96";NA
"ROG";"Rogers Corp";"Technology";"Hardware";"212,74";"USA";60280;"4,36";"2.65";"4.34";"4.70";"2.53";"2.67";NA
"ROIC";"Retail Opportunity Investments Corp";"Real Estate";"REITs";"18,15";"USA";801960;"0,34";"0.31";"0.35";"0.38";"0.42";"0.27";NA
"ROK";"Rockwell Automation Inc";"Industrials";"Industrial Products";"326,1";"USA";543902;"13,17";"5.56";"6.35";"4.21";"5.83";"8.77";NA
"ROKU";"Roku Inc";"Communication Services";"Media - Diversified";"353,76";"USA";4176548;"1,64";"-0.50";"-2.24";"-0.08";"-0.52";"-0.14";NA
"ROL";"Rollins Inc";"Consumer Cyclical";"Personal Services";"39,22";"USA";1109067;"0,68";"0.34";"0.37";"0.47";"0.41";"0.53";NA
"ROMJF";"Rubicon Organics Inc";"Healthcare";"Drug Manufacturers";"1,93";"Canada";4866;"-0,29";NA;"-0.12";"-0.66";"-0.28";"-0.27";NA
"ROP";"Roper Technologies Inc";"Industrials";"Industrial Products";"484,78";"USA";374468;"10,04";"6.43";"9.39";"9.05";"16.82";"8.98";NA
"ROSYY";"Rostelecom PJSC";"Communication Services";"Telecommunication Services";"8,08";"Russia";3494;"0,7";"0.52";"0.62";"0.53";"0.82";"0.59";NA
"ROYUF";"Royal UNIBREW A/S";"Consumer Defensive";"Beverages - Alcoholic";"124,5";"Denmark";190;"4,23";"2.07";"2.54";"3.14";"3.41";"3.94";NA
"RPAI";"Retail Properties of America Inc";"Real Estate";"REITs";"13,16";"USA";1779040;"0,09";"0.66";"1.03";"0.35";"0.15";"0.07";NA
"RPD";"Rapid7 Inc";"Technology";"Software";"122,19";"USA";472883;"-2,24";"-1.19";"-1.06";"-1.20";"-1.10";"-1.94";NA
"RPKIF";"Richards Packaging Income Fund";"Consumer Cyclical";"Packaging & Containers";"51,03";"Canada";100;"2,91";"0.55";"1.20";"1.65";"1.50";"3.49";NA
"RPMT";"Rego Payment Architectures Inc";"Technology";"Software";"1,06";"USA";63988;"-0,18";"-0.05";"-0.05";"-0.06";"-0.04";"-0.13";NA
"RPT";"RPT Realty";"Real Estate";"REITs";"13";"USA";274582;"0,46";"0.66";"0.78";"0.13";"1.04";"-0.21";NA
"RPYTF";"Reply SpA";"Technology";"Software";"170,69";"Italy";435;"3,82";"1.91";"2.46";"3.04";"3.38";"4.02";NA
"RRC";"Range Resources Corp";"Energy";"Oil & Gas";"14,7";"USA";4515640;"-3,22";"-2.75";"1.34";"-7.10";"-6.92";"-2.95";NA
"RRD";"R.R.Donnelley & Sons Co";"Industrials";"Business Services";"4,93";"USA";650728;"2,18";"-7.09";"-0.49";"-0.16";"-1.31";"1.36";NA
"RRETY";"Robinsons Retail Holdings Inc";"Consumer Cyclical";"Retail - Cyclical";"10,11";"Philippines";708;"0,42";"0.70";"0.72";"0.73";"0.50";"0.41";NA
"RRGB";"Red Robin Gourmet Burgers Inc";"Consumer Cyclical";"Restaurants";"24,76";"USA";375668;"-3,81";"0.87";"2.31";"-0.49";"-0.61";"-19.29";NA
"RRIF";"Rainforest Resources Inc";"Basic Materials";"Metals & Mining";"3,35";"USA";29393;"-0,03";"-0.01";"-0.01";"-0.01";"-0.01";"-0.01";NA
